"conta","texto","url","data"
"BolsonaroSP","Visitei o Hosp. Fornecedores de Cana de Piracicaba,q atende 70% SUS e que com uma de nossas emendas comprou aparelhos de hemodiálise. Além de fiscalizar a destinação correta dos recursos pude ver um hospital de alta qualidade com elogios vindos dos pacientes. Parabéns a todos!👏 https://t.co/WmhkCyo4Uc","https://twitter.com/BolsonaroSP/status/1115327865086726144","2019-04-08 14:57:39 EDT"
"CarlosBolsonaro","Será que a grobo news vai dar mais importância a esta notícia ou vai procurar falar em videntes e mais desinformações sobre Governo Bolsonaro? https://twitter.com/jairbolsonaro/status/1115185430901788672","https://twitter.com/CarlosBolsonaro/status/1115324164129329152","2019-04-08 14:42:57 EDT"
"tarcisiogdf","Após concluída a concessão de 23 ativos nestes 100 primeiros dias do governo @jairbolsonaro, estou neste momento apresentando a nova estratégia do @MInfraestrutura. Transmitimos ao vivo pelo http://instagram.com/tarcisiogdf https://t.co/ycVoMCnDht","https://twitter.com/tarcisiogdf/status/1115323643217743873","2019-04-08 14:40:52 EDT"
"BolsonaroSP","Abraham é mestre pela GV e tem MBA internacional.","https://twitter.com/BolsonaroSP/status/1115322567399751680","2019-04-08 14:36:36 EDT"
"CarlosBolsonaro","Afirmaram que Bolsonaro havia decidido algo sobre Ministro da Educação há duas semanas. O Presidente decidiu hoje. Enquanto isso, nada estava certo, óbvio. Não há o que discutir, até porque jornalista e “isentão” distorcendo e mentindo para prejudica-lo não é novidade alguma.","https://twitter.com/CarlosBolsonaro/status/1115320309434015747","2019-04-08 14:27:38 EDT"
"BolsonaroSP","Entrevista de JAIR BOLSONARO hoje 18:00h, na @radiojovempan para @augustosnunes . https://twitter.com/jairbolsonaro/status/1115296078222569473","https://twitter.com/BolsonaroSP/status/1115307868952174593","2019-04-08 13:38:12 EDT"
"BolsonaroSP","Um fato ocorrido em 2017 como novo Ministro da Educação, Abraham Weintraub, e uma parte de seu currículo e posições que ocupou com base em seu mérito próprio: https://t.co/jxo0vcOshU","https://twitter.com/BolsonaroSP/status/1115307165248577537","2019-04-08 13:35:24 EDT"
"BolsonaroSP","Vale a pena relembrar o @Datafolha uma semana antes do 1º turno 😂👏 https://t.co/Ov1P4IfoC1","https://twitter.com/BolsonaroSP/status/1115304885182976000","2019-04-08 13:26:20 EDT"
"jairbolsonaro","Hoje, segunda-feira, às 18hs serei entrevistado por @augustosnunes , na Jovem Pan (TV JOVEM PAN). https://t.co/UP2sDXrpg1","https://twitter.com/jairbolsonaro/status/1115296078222569473","2019-04-08 12:51:20 EDT"
"jairbolsonaro","Corrigindo: Abraham possui mestrado em Administração na área de Finanças pela FGV e MBA Executivo Internacional pelo OneMBA, com título reconhecido pelas escolas: FGV/Brasil, RSM/Holanda, UNC/Estados Unidos, CUHK/China e EGADE-ITESM/México. 👍","https://twitter.com/jairbolsonaro/status/1115282445019095040","2019-04-08 11:57:10 EDT"
"BolsonaroSP","O MEC é um ministério complexo, acredito e confio que o novo ministro, um doutor professor universitário, vá desempenhar bem as suas funções e botar adiante a educação que o Brasil necessita para formar bons cientistas, trabalhadores e empreendedores 🇧🇷👏 https://twitter.com/jairbolsonaro/status/1115261421321883648","https://twitter.com/BolsonaroSP/status/1115275619363905539","2019-04-08 11:30:03 EDT"
"Astro_Pontes","Na Campus Party realizada em SP tive uma agenda pesada. Mas sempre reservo um tempo para uma entrevista... esta foi uma delas. https://www.youtube.com/watch?v=Qlvri8QVWpo Abraços espaciais, Astronauta Marcos Pontes","https://twitter.com/Astro_Pontes/status/1115268144824766464","2019-04-08 11:00:21 EDT"
"jairbolsonaro","Comunico a todos a indicação do Professor Abraham Weintraub ao cargo de Ministro da Educação. Abraham é doutor, professor universitário e possui ampla experiência em gestão e o conhecimento necessário para a pasta. Aproveito para agradecer ao Prof. Velez pelos serviços prestados.","https://twitter.com/jairbolsonaro/status/1115261421321883648","2019-04-08 10:33:38 EDT"
"tarcisiogdf","O @minfraestrutura determinou que uma equipe de técnicos das áreas de estrutura, orçamento e emergência do @DNIToficial esteja à disposição do Governo do Pará no auxílio à reconstrução do vão da ponte que fica sobre o rio Moju, em rodovia estadual, no acesso a Belém. https://t.co/vnSXLqHqH1","https://twitter.com/tarcisiogdf/status/1115224012500668424","2019-04-08 08:04:59 EDT"
"BolsonaroSP","Ficou no passado quem acha que no Oriente Médio o inimigo é Israel. Na verdade, o país mais mal quisto do local é o Irã que dá grande suporte a grupos terroristas e causa caos na região - não é a toa que está sob sanções. Cada vez mais Israel é visto como um país amigo lá. https://twitter.com/jairbolsonaro/status/1115185430901788672","https://twitter.com/BolsonaroSP/status/1115212692971769856","2019-04-08 07:20:00 EDT"
"BolsonaroSP","Todos já conhecem o @Datafolha 😂 https://t.co/b7xG9ah9jZ","https://twitter.com/BolsonaroSP/status/1115212252494422016","2019-04-08 07:18:15 EDT"
"rsallesmma","Estamos tentando converter a multa da VALE de R$ 250 milhões em investimentos em sete Parques Nacionais em MG, para infra-estrutura, trilhas, atividades e serviços que as tornem mais atrativas para o ecoturismo através de concessão futura. https://t.co/EdwKQCODax","https://twitter.com/rsallesmma/status/1115204572967051266","2019-04-08 06:47:44 EDT"
"Astro_Pontes","Caros amigos, No dia 28 de Março participei de uma audiência no Senado, onde tive a oportunidade de apresentar aos parlamentares o Acordo de Salvaguardas Tecnológicas (AST) assinado pelo… https://www.instagram.com/p/Bv_ca6gnZJs/?utm_source=ig_twitter_share&igshid=78ahh5mnnayb","https://twitter.com/Astro_Pontes/status/1115200690186477569","2019-04-08 06:32:18 EDT"
"CarlosBolsonaro","O apoiador do PT, o chupão na barriga que é mestre em culpar os outros pelo desastre de quem sempre apoiou, e mirando homem que está invertendo o jogo. Mais empregos em janeiro e recorde em fevereiro. Quem tem varinha mágica é só o Potter, esse ai já engoliu a dele faz tempo! https://twitter.com/ruirapina/status/1115168538787045376","https://twitter.com/CarlosBolsonaro/status/1115193915907477504","2019-04-08 06:05:23 EDT"
"CarlosBolsonaro","Até quando vão cair na narrariva destes espertalhões? Imobilizaram uma mulher que queria matar alguém com algo parecido com a faca que o ex-integrante do PSOL tentou assassinar Bolsonaro... é sempre tudo montadinho! https://twitter.com/marcknho/status/1115039701398847488","https://twitter.com/CarlosBolsonaro/status/1115192366409891841","2019-04-08 05:59:14 EDT"
"jairbolsonaro","A necessidade de países - mesmo que não ligados ideologicamente - de importar produtos baratos para controlar seus níveis de inflação, desfaz a narrativa de caos criada propositalmente por grande parte da mídia para tentar desestabilizar o governo que não lhe “agrada”.","https://twitter.com/jairbolsonaro/status/1115185528369029120","2019-04-08 05:32:03 EDT"
"jairbolsonaro","O alinhamento do Governo Bolsonaro com Israel teve algum impacto sobre as exportações com os árabés? o faturamento dos exportadores para o período foi o maior da história: R$ 2,3bilhões. http://youtu.be/1O2ivSO1j_Y","https://twitter.com/jairbolsonaro/status/1115185430901788672","2019-04-08 05:31:40 EDT"
"OsmarTerra","Mesmo quem diverge do Presidente Bolsonaro,tem de admitir que só ele teve a coragem de colocar um Paulo Guedes na Economia e um Sergio Moro na Justiça. Com carta branca para agir! Isso é muito maior e importante para o Brasil que qualquer outra discussão.Não tem preço..!","https://twitter.com/OsmarTerra/status/1115089173260787717","2019-04-07 23:09:10 EDT"
"BolsonaroSP","Olha quem declarou apoio ao Lula falando em ""um ano de injustiça""... https://twitter.com/nicolasmaduro/status/1115007015695339521","https://twitter.com/BolsonaroSP/status/1115038782754119681","2019-04-07 19:48:56 EDT"
"BolsonaroSP","Por pouco não perdemos parte da nossa história! Repare tb no pioneirismo de Olavo, uma voz quase solitária no passado e que hoje colhe credibilidade. Assim como a esquerda quer reescrever o passado ela quer destruir a reputação de @opropriolavo *1964: http://www.brasilparalelo.com.br https://t.co/xFavM71vhM","https://twitter.com/BolsonaroSP/status/1115038648926449666","2019-04-07 19:48:24 EDT"
"jairbolsonaro","👍🏻 https://twitter.com/tarcisiogdf/status/1114907589140258816","https://twitter.com/jairbolsonaro/status/1115008829941534731","2019-04-07 17:49:55 EDT"
"BolsonaroSP","Quem se lembra? *Instagram: bolsonaroSP https://t.co/Ral7oAAOSp","https://twitter.com/BolsonaroSP/status/1115004430942969857","2019-04-07 17:32:26 EDT"
"CarlosBolsonaro","Como ser sincero e humilde e como uma mídia suja explora de forma negativa e sorrateira uma colocação que na verdade demonstra totalmente o contrário, expondo o jogo sujo que fazem 24h por dia com o presidente que não lhes dá o que querem. Assista e tire suas conclusões: https://t.co/TxqbCBuPBx","https://twitter.com/CarlosBolsonaro/status/1114987169230336000","2019-04-07 16:23:51 EDT"
"GeneralMourao","Hoje, na Brazil Conference At Harvard & MIT (Massachussetts Institute of Technology), em Boston-EUA, fiz a Conferência Magistral do Painel +Diálogo: os 100 primeiros dias. Destaquei as prioridades do governo @jairbolsonaro e tive oportunidade de responder perguntas de estudantes. https://t.co/rK4iUi1Mmv","https://twitter.com/GeneralMourao/status/1114982861185089536","2019-04-07 16:06:44 EDT"
"jairbolsonaro","Depois de o Datafolha publicar que ""Lula e Dilma são mais inteligentes do que Bolsonaro"", um pouco de como o povo me trata: https://t.co/aOfzHM4PHR","https://twitter.com/jairbolsonaro/status/1114972042330292225","2019-04-07 15:23:44 EDT"
"BolsonaroSP","Acredite, há algumas pessoas que pensam mais no poder do que no Brasil. #novaprevidencia #1tri https://t.co/V3iN5Eo40U","https://twitter.com/BolsonaroSP/status/1114960385826861058","2019-04-07 14:37:25 EDT"
"DamaresAlves","Por que o ministério de Damares é o mais inovador do governo Bolsonaro – e merece mais atenção https://www.semprefamilia.com.br/blog-da-vida/por-que-o-ministerio-de-damares-e-o-mais-inovador-do-governo-bolsonaro-e-merece-mais-atencao/","https://twitter.com/DamaresAlves/status/1114947754193825793","2019-04-07 13:47:13 EDT"
"CarlosBolsonaro","Professor, o brasileiro está atento e sabe filtrar e tirar de bom qualquer mensagem que venha do senhor e que tentam a todo custo desmerece-la! Somos gratos e sempre atentos às suas palavras desde muito antes de eleições! Um forte abraço! https://twitter.com/opropriolavo/status/1114895361582215169","https://twitter.com/CarlosBolsonaro/status/1114917708045398017","2019-04-07 11:47:50 EDT"
"BolsonaroSP","Deslisou o dedo no teclado sem querer e pronto! Apareceu na tela os dados do Jair Bolsonaro. Mas foi só coinSSIdênsia tá... 😉👍 https://twitter.com/renovamidia/status/1114905868020142081","https://twitter.com/BolsonaroSP/status/1114911983269228544","2019-04-07 11:25:05 EDT"
"BolsonaroSP","Meu Deus!!! 😂😂😂😂😂😂 https://t.co/i4DeFvQl3x","https://twitter.com/BolsonaroSP/status/1114911255691710470","2019-04-07 11:22:12 EDT"
"jairbolsonaro","Kkkkkkkk https://t.co/sVv5vNGdvu","https://twitter.com/jairbolsonaro/status/1114908335529132033","2019-04-07 11:10:35 EDT"
"tarcisiogdf","Aviação civil já cresce acima de 6% comparada a 2018. Nos principais aeroportos, chegamos a níveis de 2011, auge do setor. Somos 5o mercado mundial, com potencial para 3o. Precisamos consolidar abertura de capital estrangeiro nas cias pra assegurar competição e equilibrar tarifas","https://twitter.com/tarcisiogdf/status/1114907589140258816","2019-04-07 11:07:37 EDT"
"BolsonaroSP","Se perguntar o que é fascista aí ninguém sabe. https://twitter.com/brasil_paralelo/status/1114897566217527302","https://twitter.com/BolsonaroSP/status/1114898858532900864","2019-04-07 10:32:56 EDT"
"BolsonaroSP","Em Primavera do Leste-MT conheci como uma cidade cresce e se torna pujante graças ao trabalho dos agricultores. A missão do governo é não atrapalhar o que está dando certo e melhorar a infraestrutura para escoamento dos produtos. https://t.co/H3ZlY27ItU","https://twitter.com/BolsonaroSP/status/1114898821761388545","2019-04-07 10:32:47 EDT"
"jairbolsonaro","O @mdregional_br trabalha para o desenvolvimento sustentável na produção do cacau no Pará e na Bahia. Veja iniciativas interessantes junto de universidades e setores que desenvolvem trabalho nesta área. Analise as interessantes iniciativas e tire suas conclusões: https://t.co/2692ulRJ36","https://twitter.com/jairbolsonaro/status/1114889965941477376","2019-04-07 09:57:36 EDT"
